"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"2461",26,"UMBS",421,"D02E",315,"QURU",17.7,"L","OD",NA,NA,NA,"D","13-18"
"2462",27,"UMBS",421,"D02E",316,"POGR",16,"L","OD",NA,NA,NA,"D","13-18"
"2463",28,"UMBS",421,"D02E",317,"QURU",17.8,"L","OD",NA,NA,NA,"D","13-18"
"2464",29,"UMBS",421,"D02E",318,"ACRU",13.3,"L","OS",NA,"Cluster",NA,"D","13-18"
"2465",30,"UMBS",421,"D02E",319,"ACRU",13.3,"L","OS",NA,"Cluster",NA,"D","13-18"
"2466",31,"UMBS",421,"D02E",320,"ACRU",8.2,"L","OS",NA,"Big knot under dbh where it lost a split branch",NA,"D","8-13"
"2467",32,"UMBS",421,"D02E",321,"PIST",10.7,"L","OS",NA,NA,NA,"D","8-13"
"2468",34,"UMBS",421,"D02E",323,"ACRU",10.4,"L","OS",NA,NA,NA,"D","8-13"
"2469",35,"UMBS",421,"D02E",324,"ACRU",11,"L","OS",NA,NA,NA,"D","8-13"
"2470",37,"UMBS",421,"D02E",326,"QURU",43.9,"L","OD",NA,NA,NA,"D","43-48"
"2471",38,"UMBS",421,"D02E",327,"ACRU",11.8,"L","OS",NA,NA,NA,"D","8-13"
"2472",39,"UMBS",421,"D02E",328,"POGR",21.1,"L","OD",NA,NA,NA,"D","18-23"
"2473",40,"UMBS",421,"D02E",329,"ACRU",9.3,"L","OS",NA,"cluster",NA,"D","8-13"
"2474",41,"UMBS",421,"D02E",330,"QURU",37.5,"L","OD",NA,"Cluster",NA,"D","33-38"
"2475",42,"UMBS",421,"D02E",331,"QURU",42.3,"L","OD",NA,"Cluster",NA,"D","38-43"
"2476",43,"UMBS",421,"D02E",332,"ACRU",11.4,"M","OS",NA,"Cluster",NA,"D","8-13"
"2477",44,"UMBS",420,"D02E",333,"QURU",25.8,"L","OD",NA,"HAD TO MAKE NEW PLOT, starting to become moribund, new plot is 420",NA,"D","23-28"
"2478",45,"UMBS",420,"D02E",334,"BEPA",18,"D","UN",NA,"two lines, used higher",NA,"D","18-23"
"2479",46,"UMBS",420,"D02E",335,"QURU",30.6,"M","OD",NA,NA,NA,"D","28-33"
"2480",47,"UMBS",420,"D02E",336,"QURU",25.9,"L","OD",NA,NA,NA,"D","23-28"
"2481",48,"UMBS",420,"D02E",337,"PIST",8.4,"L","OS",NA,"about an inch below dbh line",NA,"D","8-13"
"2482",49,"UMBS",420,"D02E",338,"QURU",27.8,"M",NA,NA,NA,NA,"D","23-28"
"2483",50,"UMBS",420,"D02E",339,"ACRU",10.2,"L","OS",NA,"cluster",NA,"D","8-13"
