"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"68","POGR",312,"732","UMBS",25.2,"L","OD","06/26/2018","731-732 share base","C01E","C","C01",45.5626308,-84.7073415,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.16437657088798,"Populus","live","E"
"69","POGR",313,"724","UMBS",25.3,"L","OD","06/26/2018","in new plot","C01E","C","C01",45.5626659,-84.7073948,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.20206677829018,"Populus","live","E"
"70","QURU",312,"753","UMBS",22,"L","OD","06/26/2018","","C01E","C","C01",45.5624876,-84.7072968,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.30989051638478,"Quercus","live","E"
"71","QURU",313,"718","UMBS",22.1,"L","OS","06/26/2018","in new plot","C01E","C","C01",45.5626791,-84.7074564,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.33842401650759,"Quercus","live","E"
"72","QURU",312,"746","UMBS",22.7,"L","OS","06/26/2018","","C01E","C","C01",45.562528,-84.7074549,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.51085492238657,"Quercus","live","E"
"73","QURU",312,"744","UMBS",22.9,"L","OS","06/26/2018","","C01E","C","C01",45.5625475,-84.7072724,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.56879702307287,"Quercus","live","E"
"74","QURU",312,"813","UMBS",23.3,"L","OS","06/26/2018","813-814 share base","C01E","C","C01",45.5626003,-84.7074954,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.68537226552663,"Quercus","live","E"
"75","QURU",312,"801","UMBS",23.5,"L","OS","06/26/2018","","C01E","C","C01",45.5625347,-84.7075033,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.74400324017087,"Quercus","live","E"
"76","QURU",312,"788","UMBS",24,"L","OD","06/26/2018","","C01E","C","C01",45.5624161,-84.707608,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.89157361844424,"Quercus","live","E"
"77","POGR",312,"735","UMBS",27.1,"L","OD","06/26/2018","","C01E","C","C01",45.5626023,-84.7073489,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.91325043074491,"Populus","live","E"
"78","QURU",312,"803","UMBS",24.3,"L","OD","06/26/2018","802-803 share base","C01E","C","C01",45.5625737,-84.7076029,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.98079153750202,"Quercus","live","E"
"79","QURU",312,"752","UMBS",24.9,"L","OD","06/26/2018","","C01E","C","C01",45.5624757,-84.7073548,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.16073177333149,"Quercus","live","E"
"80","POGR",312,"731","UMBS",28.8,"L","OD","06/26/2018","731-732 share base","C01E","C","C01",45.5626235,-84.7073303,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.64263130287746,"Populus","live","E"
"81","POGR",312,"714","UMBS",30.1,"L","OD","06/26/2018","","C01E","C","C01",45.5626325,-84.7074332,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.23882123425892,"Populus","live","E"
"82","POGR",312,"717","UMBS",30.5,"L","OD","06/26/2018","","C01E","C","C01",45.562659,-84.7074197,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.42903660740243,"Populus","live","E"
"83","POGR",312,"722","UMBS",30.6,"L","OD","06/26/2018","","C01E","C","C01",45.5626505,-84.7074029,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.47709115928398,"Populus","live","E"
"84","POGR",312,"808","UMBS",31.8,"L","OD","06/26/2018","reading taken above DBH","C01E","C","C01",45.5625487,-84.7075075,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.06944731292249,"Populus","live","E"
"85","POGR",312,"729","UMBS",32.6,"L","OD","06/26/2018","","C01E","C","C01",45.5626114,-84.7073578,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.4805547230783,"Populus","live","E"
"86","QURU",312,"802","UMBS",33,"L","OD","06/26/2018","802-803 share base","C01E","C","C01",45.5625714,-84.7076084,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.77461729121913,"Quercus","live","E"
"87","QURU",312,"754","UMBS",33.9,"L","OD","06/26/2018","","C01E","C","C01",45.5624536,-84.7072884,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.08503302590913,"Quercus","live","E"
"88","POGR",312,"784","UMBS",38.7,"L","OD","06/26/2018","","C01E","C","C01",45.5624989,-84.7074855,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.0511178319466,"Populus","live","E"
"89","QURU",312,"791","UMBS",43.2,"L","OD","06/26/2018","","C01E","C","C01",45.5625261,-84.7075988,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",11.5045620017963,"Quercus","live","E"
"90","POGR",313,"779","UMBS",40.3,"L","OD","06/26/2018","in new plot","C01E","C","C01",45.5624113,-84.707626,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.1180501125488,"Populus","live","E"
"91","POGR",312,"785","UMBS",40.9,"L","OD","06/26/2018","","C01E","C","C01",45.5624705,-84.7075863,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.5324012105587,"Populus","live","E"
"92","POGR",310,"840","UMBS",44.1,"L","OD","06/27/2018","In a new plot","C01W","C","C01",45.5625052,-84.7082644,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",14.8751568975165,"Populus","live","W"
"93","QURU",311,"874","UMBS",45.3,"L","OD","06/27/2018","","C01W","C","C01",45.562432,-84.7080012,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",12.3271908928125,"Quercus","live","W"
"94","POGR",311,"881","UMBS",38.7,"L","OD","06/27/2018","","C01W","C","C01",45.5625005,-84.7079258,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.0511178319466,"Populus","live","W"
"95","QURU",311,"868","UMBS",38.8,"L","OD","06/27/2018","","C01W","C","C01",45.5623402,-84.7080501,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",9.83991616067521,"Quercus","live","W"
"96","QURU",311,"828","UMBS",35.6,"L","OD","06/27/2018","Shred base with 827","C01W","C","C01",45.5626069,-84.7080699,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.68162423495156,"Quercus","live","W"
"97","POGR",311,"878","UMBS",34.2,"L","OD","06/27/2018","","C01W","C","C01",45.5624257,-84.7079019,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.34205704704019,"Populus","live","W"
"98","QURU",311,"865","UMBS",34.6,"L","OD","06/27/2018","Shared base with 853","C01W","C","C01",45.5623908,-84.7082301,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.32907861259805,"Quercus","live","W"
"99","QURU",311,"824","UMBS",33.8,"L","OD","06/27/2018","","C01W","C","C01",45.5626216,-84.7079651,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.0503550781706,"Quercus","live","W"
"100","POGR",311,"870","UMBS",31.5,"L","OD","06/27/2018","","C01W","C","C01",45.5623531,-84.7080385,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.91863268196628,"Populus","live","W"
"101","QURU",311,"871","UMBS",30.2,"L","OD","06/27/2018","Shared base with 872","C01W","C","C01",45.5624001,-84.7079748,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.833628091585,"Quercus","live","W"
"102","QURU",311,"842","UMBS",29.7,"L","OD","06/27/2018","","C01W","C","C01",45.5625201,-84.7081681,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.66963198389724,"Quercus","live","W"
