"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area"
"36","ACRU",141,"2625","UMBS",32.5,"L","OD","07/12/2018","2624 - 2627 share base","A04W","A","A04",45.5635739,-84.7266303,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.94345075892561,"Acer",19,150.925564419587
"37","ACRU",212,"1730","UMBS",22.7,"L","OS","07/04/2018","1730-1731 share base","B01E","B","B01",45.5568066,-84.7267191,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.5707624605748,"Acer",19,86.8444867509212
"38","ACRU",111,"2901","UMBS",25.6,"L","OS","07/13/2018","2901-2902 share base","A01W","A","A01",45.5635719,-84.7287142,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.50045199051426,"Acer",19,104.508587819771
"39","ACRU",221,"1809","UMBS",18.4,"L","OS","07/05/2018","","B02W","B","B02",45.555676,-84.7272198,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.30771649674479,"Acer",19,62.8466134381509
"40","ACRU",212,"1690","UMBS",14,"L","OS","07/04/2018","","B01E","B","B01",45.5566422,-84.7265692,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.17143086549676,"Acer",19,41.2571864444385
"41","ACRU",221,"1769","UMBS",21.7,"L","OS","07/05/2018","1768-1769 share base","B02W","B","B02",45.5558535,-84.7269308,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.26438907383197,"Acer",19,81.0233924028075
"42","ACRU",231,"2017","UMBS",28.6,"L","UN","07/05/2018","","B03W","B","B03",45.5561955,-84.7258995,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.52397852537995,"Acer",19,123.955591982219
"43","ACRU",211,"1637","UMBS",10.9,"L","OS","07/03/2018","","B01W","B","B01",45.5566404,-84.7272375,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.47688146005833,"Acer",19,28.0607477411083
"44","ACRU",212,"1723","UMBS",12.3,"L","OS","07/04/2018","1722-1725 share base","B01E","B","B01",45.5567443,-84.7267218,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.77894574674723,"Acer",19,33.7999691881974
"45","ACRU",211,"1636","UMBS",18.2,"L","OS","07/03/2018","","B01W","B","B01",45.5566743,-84.7272243,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.25251096468563,"Acer",19,61.7977083290269
"46","ACRU",111,"2894","UMBS",35.2,"L","OS","07/13/2018","2893-2894 share base","A01W","A","A01",45.5637625,-84.7290275,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.98223748912673,"Acer",19,170.662512293408
"47","ACRU",132,"2505","UMBS",27,"L","OD","07/11/2018","2504 - 2506 share base","A03E","A","A03",45.5629817,-84.7266802,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.97047698569531,"Acer",19,113.439062728211
"48","ACRU",221,"1748","UMBS",27.5,"L","OS","07/05/2018","","B02W","B","B02",45.555862,-84.727139,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.14159508875957,"Acer",19,116.690306686432
"49","ACRU",132,"2535","UMBS",28.1,"L","OD","07/11/2018","2535 - 2536 share base","A03E","A","A03",45.5629018,-84.7269007,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.34916428276997,"Acer",19,120.634121372629
"50","ACRU",112,"2868","UMBS",8.4,"M","UN","7/12/2018","","A01E","A","A01",45.5636935,-84.7283638,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.988778312842163,"Acer",19,18.7867879440011
"51","ACRU",221,"1764","UMBS",26.5,"L","OS","07/05/2018","","B02W","B","B02",45.5558383,-84.7270058,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.80106160689874,"Acer",19,110.220170531076
"52","ACRU",231,"2024","UMBS",20.1,"L","OS","07/05/2018","2024-2025 share base","B03W","B","B03",45.5562384,-84.7259294,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.78992626161869,"Acer",19,72.0085989707551
"53","ACRU",211,"1601","UMBS",30.3,"L","OD","07/03/2018","1600-1601 share base","B01W","B","B01",45.5565115,-84.727072,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.13067232306849,"Acer",19,135.482774138301
"54","ACRU",233,"2097","UMBS",22.4,"L","OD","7/6/2018","2095 - 2097 share base, in a cluster with 2098 and 2099","B03E","B","B03",45.5561555,-84.7252748,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.47806898921292,"Acer",19,85.0833107950454
