"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"65","QURU",411,"594","UMBS",39.4,"L","OD","06/26/2018","593-594 share base","D01W","D","D01",45.5608851,-84.7074176,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",10.0620909868391,"Quercus",14.2,142.881692013115,"live","W"
"66","QURU",411,"615","UMBS",35.5,"L","OD","06/26/2018","615-617 share base","D01W","D","D01",45.5607453,-84.7072286,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.64616444036262,"Quercus",14.2,122.775535053149,"live","W"
"67","QURU",411,"622","UMBS",35.3,"L","OD","06/26/2018","621-622 share base","D01W","D","D01",45.5608416,-84.7072595,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.57538117927288,"Quercus",14.2,121.770412745675,"live","W"
"68","BEPA",411,"633","UMBS",35.1,"D","UN","06/26/2018","","D01W","D","D01",45.5608877,-84.7070706,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",13.6362659225899,"Betula",20.82,283.907056508322,"live","W"
"69","QURU",411,"589","UMBS",34.7,"L","OD","06/26/2018","","D01W","D","D01",45.5609931,-84.7074176,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.36412709090601,"Quercus",14.2,118.770604690865,"live","W"
"70","QURU",411,"631","UMBS",34,"L","OD","06/26/2018","","D01W","D","D01",45.560838,-84.7070864,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.11975754909738,"Quercus",14.2,115.300557197183,"live","W"
"71","QURU",411,"639","UMBS",32.6,"L","OD","06/26/2018","","D01W","D","D01",45.5609761,-84.7071809,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.63788025775676,"Quercus",14.2,108.457899660146,"live","W"
"72","QURU",411,"617","UMBS",32.1,"L","OD","06/26/2018","615-617 share base","D01W","D","D01",45.5607555,-84.7072316,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.46803009680349,"Quercus",14.2,106.04602737461,"live","W"
"73","QURU",411,"635","UMBS",31.9,"L","OD","06/26/2018","","D01W","D","D01",45.5609412,-84.7071382,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.40042533433633,"Quercus",14.2,105.086039747576,"live","W"
"74","QURU",410,"616","UMBS",30.6,"L","OD","06/26/2018","615-617 share base, 616 in new plot 410","D01W","D","D01",45.5607613,-84.7072282,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.96571839132403,"Quercus",14.2,98.9132011568013,"live","W"
"75","QURU",411,"624","UMBS",29.9,"L","OD","06/26/2018","623-624 share base","D01W","D","D01",45.5608563,-84.70722,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.73508089484385,"Quercus",14.2,95.6381487067826,"live","W"
"76","POGR",411,"604","UMBS",29.6,"D","OS","06/26/2018","","D01W","D","D01",45.5607724,-84.70743,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.00554474139102,"Populus",15.89,95.4281059407033,"live","W"
"77","QURU",411,"614","UMBS",28.9,"L","OD","06/26/2018","","D01W","D","D01",45.5607244,-84.707247,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.40984604576649,"Quercus",14.2,91.0198138498842,"live","W"
"78","QURU",411,"621","UMBS",28.6,"L","OD","06/26/2018","621-622 share base","D01W","D","D01",45.5608331,-84.7072662,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.31326203898282,"Quercus",14.2,89.648320953556,"live","W"
"79","QURU",411,"623","UMBS",26.4,"L","OD","06/26/2018","623-624 share base","D01W","D","D01",45.5608675,-84.7072204,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.61920596578813,"Quercus",14.2,79.7927247141914,"live","W"
"80","POGR",411,"630","UMBS",26.2,"L","OD","06/26/2018","POGR or POTR","D01W","D","D01",45.560855,-84.7071031,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.54987224034321,"Populus",15.89,72.2974698990537,"live","W"
"81","QURU",411,"598","UMBS",24.8,"L","OD","06/26/2018","598-599 share base","D01W","D","D01",45.5608821,-84.7074836,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.13060326245538,"Quercus",14.2,72.8545663268663,"live","W"
"82","QURU",411,"636","UMBS",23.6,"L","OD","06/26/2018","","D01W","D","D01",45.5609539,-84.7071396,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.77340409884575,"Quercus",14.2,67.7823382036097,"live","W"
"83","QURU",411,"628","UMBS",22.2,"L","OD","06/26/2018","","D01W","D","D01",45.5608967,-84.7072429,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.36701632274178,"Quercus",14.2,62.0116317829333,"live","W"
