,plot,subplot,nsp,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
42,a,3,w,forteA03W2.CSV,9.578974133,5.216843041,27.21545131,10.87620386,40,9.075,8,5.841441252,25.544,13.694925,7.477155928,3.247353967,0,0,0.738888889,257.8713325,10.49445938,12.15473795,6.810939724,forteA03W2.CSV,6.763378583,5.288858259,1.786292149,98.21370785,25.544,386.4,6.25,0.931804853,20.33861893
43,a,4,e,forteA04E.CSV,9.66740097,6.033594723,36.40426528,11.35573864,40,8.1,7.179492087,7.775042254,35.1,20.148425,6.511710107,3.303344579,1,0.025,0.788194444,3209.936013,36.42370537,43.39642497,9.852400605,forteA04E.CSV,6.982899259,7.079387104,6.2325521,93.7674479,35.1,385.2,5.45,0.912832777,23.2853567
44,a,4,e,forteA04E2.CSV,13.60162734,6.708320514,45.00156412,15.12880667,40,12.525,8,9.251437865,35.027,23.50065,6.463839101,2.80110938,0,0,0.748611111,3924.0757,40.32944991,47.93340349,9.788355878,forteA04E2.CSV,11.01652953,8.43633056,5.886283562,94.11371644,35.027,411.675,6.675,0.946813689,28.32771293
45,a,4,w,forteA04W.CSV,18.34165782,4.930729307,24.3120915,18.97150759,30,19.3,5.67700909,6.243065118,28.086,21.82193333,7.910397531,3.173921158,0,0,0.677011494,401.9355884,15.84623729,12.28138234,5.473541273,forteA04W.CSV,14.56639764,5.724595193,0.481822164,99.51817784,28.211,456.7333333,3.8,0.9214278,22.38758151
46,a,4,w,forteA04W2.CSV,18.18711279,5.400639055,29.1669022,18.95280458,40,17.6,6.037419399,6.697875668,29.29,22.86185,7.880282918,3.29399582,0,0,0.680833333,569.8560208,17.45510135,16.28420885,4.984646142,forteA04W2.CSV,14.27333266,6.108335826,0.124774712,99.87522529,29.29,360.775,5.375,0.890076336,22.20878123
47,b,1,e,forteB01E.CSV,13.17714845,4.702487551,22.11338917,13.97132047,40,13.025,4.947717237,7.162894058,28.292,17.877025,7.246765885,2.735548907,0,0,0.713793103,769.0177839,18.99921776,20.20018585,4.884027544,forteB01E.CSV,9.037778441,5.543060649,3.146939787,96.85306021,28.292,302.8,4.45,0.880027592,19.85302594
48,b,1,e,forteB01E2.CSV,13.29641952,5.797952174,33.61624941,14.47655398,40,13.45,5.852918398,8.015849684,28.889,20.00885,7.479349964,3.044745256,0,0,0.746666667,1574.868169,30.61785877,25.24707693,7.485262493,forteB01E2.CSV,8.044210323,6.416802149,1.399860014,98.60013999,28.889,250.15,6.05,0.888708981,20.36491847
49,b,1,w,forteB01W.CSV,6.427675942,4.475952782,20.03415331,7.806951278,50,5.88,7.387063871,5.755707017,29.743,11.68028,6.819228257,3.430253582,0,0,0.810967742,892.1539666,15.53544575,25.51085832,8.76773152,forteB01W.CSV,4.242251316,3.920059913,5.17671685,94.82328315,29.743,248.54,8.12,0.803491,14.50887274
50,b,1,w,forteB01W2.CSV,7.401370637,5.049247962,25.49490498,8.924002446,40,7.425,7.827355489,7.595165466,29.188,15.142275,7.302859402,3.292094156,0,0,0.765,1559.509076,25.35262986,30.27793314,9.869400013,forteB01W2.CSV,4.522576406,4.937918114,1.829475834,98.17052417,29.188,293.925,9.1,0.778997351,16.62986198
51,b,3,e,forteB03E.CSV,8.821136931,3.891055247,15.14031094,9.621551846,40,7.7,7.98948778,6.022181222,21.303,15.2434,7.358335388,3.403813643,0,0,0.647727273,591.8000207,19.46587452,14.59039923,6.138718102,forteB03E.CSV,6.036769131,5.038435617,1.222826087,98.77717391,25.782,349.725,4.925,0.90723869,17.3465704
52,b,3,e,forteB03E2.CSV,6.794649523,4.65007605,21.62320727,8.200602979,40,6.675,7.53136422,6.870178962,27.369,13.075875,6.919200336,3.571258508,0,0,0.786607143,861.3362307,17.77445239,23.35390915,8.331231784,forteB03E2.CSV,4.720525334,5.157751962,3.000348068,96.99965193,27.369,359.25,6.7,0.745907536,13.14637514
53,b,3,w,forteB03W.CSV,10.12211162,6.671833048,44.51335622,12.07715471,40,9.775,7.015278121,8.175910519,29.91,16.9875,7.411825648,3.453195632,0,0,0.779032258,1315.797645,23.70058266,27.4605176,9.22896502,forteB03W.CSV,6.599185228,6.495996378,1.914696006,98.08530399,29.91,350.05,8.1,0.900881711,21.23190045
54,b,3,w,forteB03W2.CSV,9.219382736,5.904992223,34.86893315,10.902738,35,8.742857143,6.569205738,8.211694878,29.662,15.58591429,6.45063942,2.806521166,5,0.142857143,0.763133641,1834.772708,29.50273494,31.05416782,9.871459816,forteB03W2.CSV,6.306012028,6.18592775,1.29204982,98.70795018,29.662,214.9,6.942857143,0.908288793,21.6625123
55,b,4,e,forteB04E.CSV,10.15427009,3.813597566,14.5435264,10.83001105,40,10.125,6.768167165,5.154970218,28.179,16.617275,7.503832374,3.129096461,0,0,0.700862069,599.5241079,17.85941541,16.75008624,6.694252736,forteB04E.CSV,6.686883708,4.551457984,1.53721135,98.46278865,28.179,369.3,6.225,0.879221861,19.84654689
56,b,4,e,forteB04E2.CSV,9.396254884,4.220550971,17.8130505,10.27897515,40,8.85,8,5.337578439,26.549,14.698475,7.349248241,3.74829525,0,0,0.765178571,269.379363,11.65325383,11.55772634,7.23123487,forteB04E2.CSV,6.354981025,4.295020722,1.531359906,98.46864009,26.549,341.325,7.1,0.888842917,17.15926569
57,b,4,w,forteB04W.CSV,8.912381227,3.768182317,14.19919798,9.65788575,40,9.05,6.610347557,5.791018687,26.724,14.073625,7.325080525,3.375933867,0,0,0.741964286,622.1311527,16.08476149,19.06335754,7.161800696,forteB04W.CSV,6.131136581,4.570233833,2.030923527,97.96907647,26.724,299.25,7.775,0.8765075,18.05078885
58,b,4,w,forteB04W2.CSV,10.21292555,5.17503719,26.78100992,11.41995328,40,9.725,8,6.853737517,27.072,15.170025,7.695118908,3.355529597,0,0,0.733035714,840.5870218,18.94983748,21.94289592,6.906779703,forteB04W2.CSV,6.317875197,4.8762136,1.0595201,98.9404799,27.072,321.025,5.15,0.916253508,20.13989637
59,c,1,e,forteC01E.CSV,10.49419382,4.132635643,17.07867736,11.25965427,40,9.75,7.907667047,4.118438838,23.124,14.34385,6.697464574,3.279785028,0,0,0.705208333,138.095915,8.857373239,7.722878627,6.040117368,forteC01E.CSV,7.933850495,4.360390242,5.326633166,94.67336683,23.124,298.625,3.9,0.922511177,18.41549782
60,c,1,e,forteC01E2.CSV,10.5473816,3.52844745,12.44994141,11.10792291,40,10.75,6.270363289,4.661627316,21.028,14.3891,6.558028393,3.045811119,1,0.025,0.676136364,190.2895576,10.59921561,8.828713722,4.2806331,forteC01E2.CSV,8.083433457,4.241408717,10.34373765,89.65626235,21.028,316.5,4.15,0.901205679,16.26126126
61,c,1,w,forteC01W.CSV,9.223454736,3.661383829,13.40573154,9.906700032,40,9.525,7.798929555,4.98709874,19.743,12.6218,6.632878731,3.213183409,0,0,0.73452381,185.8909036,9.669944218,9.611611856,4.954637197,forteC01W.CSV,6.835650582,4.478671643,4.900181488,95.09981851,19.743,289.4,3.975,0.941116148,16.26725548
62,c,1,w,forteC01W2.CSV,10.68196896,4.317541348,18.6411633,11.50128667,40,10.675,8,5.427316946,20.12,14.105275,6.908396809,3.342146876,0,0,0.696428571,150.0631407,8.885595363,8.432635161,4.611296703,forteC01W2.CSV,8.143741671,4.680446966,5.528375734,94.47162427,20.12,306.725,4.025,0.92813484,16.54159247
63,c,2,w,forteC02W.CSV,14.03397293,4.66027769,21.71818815,14.76914451,40,13.15,5.909848788,6.896859189,26.491,21.1847,7.286908576,2.870470738,0,0,0.663888889,968.3304607,23.68104128,20.18758888,6.066658757,forteC02W.CSV,10.66644801,6.043893722,1.56474533,98.43525467,26.491,313.275,6.225,0.889523154,20.07143945
64,c,2,w,forteC02W2.CSV,12.10290667,6.878946093,47.31989934,13.8359768,20,10.65,7.740692652,6.853927034,27.565,16.2752,7.111742481,3.671442527,0,0,0.79137931,930.9773693,16.49418512,25.66942202,8.913600942,forteC02W2.CSV,8.626082936,6.539659523,3.606333073,96.39366693,28.09,511.75,4.85,0.933632945,20.36300417
