"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"227","UMBS",-99999,-99999,"",-99999,"","","","",NA
"228","UMBS",-99999,-99999,"",-99999,"","","","",NA
"229","UMBS",-99999,-99999,"",-99999,"","","","",NA
"230","UMBS",-99999,-99999,"",-99999,"","","","",NA
"231","UMBS",-99999,-99999,"",-99999,"","","","",NA
"232","UMBS",-99999,-99999,"",-99999,"","","","",NA
"233","UMBS",-99999,-99999,"",-99999,"","","","",NA
"234","UMBS",-99999,-99999,"",-99999,"","","","",NA
"235","UMBS",-99999,-99999,"",-99999,"","","","",NA
"236","UMBS",-99999,-99999,"",-99999,"","","","",NA
"237","UMBS",-99999,-99999,"",-99999,"","","","",NA
"238","UMBS",-99999,-99999,"",-99999,"","","","",NA
"239","UMBS",-99999,-99999,"",-99999,"","","","",NA
"240","UMBS",-99999,-99999,"",-99999,"","","","",NA
"241","UMBS",-99999,-99999,"",-99999,"","","","",NA
"242","UMBS",-99999,-99999,"",-99999,"","","","",NA
"243","UMBS",-99999,-99999,"",-99999,"","","","",NA
"244","UMBS",-99999,-99999,"",-99999,"","","","",NA
"245","UMBS",-99999,-99999,"",-99999,"","","","",NA
"246","UMBS",-99999,-99999,"",-99999,"","","","",NA
"247","UMBS",-99999,-99999,"",-99999,"","","","",NA
"248","UMBS",-99999,-99999,"",-99999,"","","","",NA
"249","UMBS",-99999,-99999,"",-99999,"","","","",NA
"250","UMBS",-99999,-99999,"",-99999,"","","","",NA
"251","UMBS",-99999,-99999,"",-99999,"","","","",NA
"252","UMBS",-99999,-99999,"",-99999,"","","","",NA
"253","UMBS",-99999,-99999,"",-99999,"","","","",NA
"254","UMBS",-99999,-99999,"",-99999,"","","","",NA
"255","UMBS",-99999,-99999,"",-99999,"","","","",NA
"256","UMBS",-99999,-99999,"",-99999,"","","","",NA
"257","UMBS",-99999,-99999,"",-99999,"","","","",NA
"258","UMBS",-99999,-99999,"",-99999,"","","","",NA
"259","UMBS",-99999,-99999,"",-99999,"","","","",NA
"260","UMBS",-99999,-99999,"",-99999,"","","","",NA
"261","UMBS",-99999,-99999,"",-99999,"","","","",NA
"262","UMBS",-99999,-99999,"",-99999,"","","","",NA
"263","UMBS",-99999,-99999,"",-99999,"","","","",NA
"264","UMBS",-99999,-99999,"",-99999,"","","","",NA
"265","UMBS",-99999,-99999,"",-99999,"","","","",NA
"266","UMBS",-99999,-99999,"",-99999,"","","","",NA
"267","UMBS",-99999,-99999,"",-99999,"","","","",NA
"268","UMBS",-99999,-99999,"",-99999,"","","","",NA
"269","UMBS",-99999,-99999,"",-99999,"","","","",NA
"270","UMBS",-99999,-99999,"",-99999,"","","","",NA
